team,score_recent,score_baseline_mean,edge_signal
Ravens,23.889470856381177,0.0,23.889470856381177
Buccaneers,22.992193801235366,0.0,22.992193801235366
Falcons,18.52855059763268,0.0,18.52855059763268
Bills,11.240036647634271,0.0,11.240036647634271
Saints,6.686113817451231,0.0,6.686113817451231
Patriots,2.9120415581958143,0.0,2.9120415581958143
Georgia,1.6016054943606968,0.0,1.6016054943606968
Florida,1.1960006571721487,0.0,1.1960006571721487
Ohio State,1.160978754749222,0.0,1.160978754749222
Alabama,0.0,0.0,0.0
LSU,0.0,0.0,0.0
Michigan,0.0,0.0,0.0
South Carolina,0.0,0.0,0.0
